Date,Close,High,Low,Open,Volume,SMA,MACD,MACD_Signal,%K,%D,RSI,Williams %R,Direction
2020-05-27,31605.220703125,31660.599609375,30525.6796875,30793.109375,20500,0.04299647789689176,0.657804890731361,-227.41100389535083,0.5696464507303581,0.32918677782779504,0.46154456091777507,0.569646450730358,1
2020-05-28,32200.58984375,32267.23046875,31641.76953125,31827.80078125,27500,0.043972473182440686,0.6802257744636304,-203.5684303479913,0.7797034193088184,0.5141156283711741,0.537966944262388,0.7797034193088184,1
2020-05-29,32424.099609375,32480.51953125,31823.80078125,32041.2890625,37100,0.04497964968603896,0.7017165926581518,-163.61699703399805,0.8585616949755472,0.7337548045836267,0.5398714122644551,0.8585616949755472,1
2020-06-01,33303.51953125,33673.828125,32876.55078125,32906.05078125,22900,0.04722536451161108,0.733005966002627,-101.2596151849358,0.9057884247939139,0.8490611715944654,0.6079845343254203,0.9057884247939139,1
2020-06-02,33825.53125,33866.62890625,33301.2890625,33450.19140625,75600,0.05038894906617264,0.7657459068896608,-19.568312626927312,0.9965308152225203,0.9234392059380806,0.6554805738418303,0.9965308152225206,1
2020-06-03,34109.5390625,34488.69140625,34027.5,34185.41015625,18400,0.05309691676410233,0.7953404400455404,74.53450272026203,0.9220897654528045,0.9452311616447368,0.6370667341237092,0.9220897654528043,1
2020-06-04,33980.69921875,34310.140625,33711.23828125,34072.5,17900,0.0567804542974073,0.8153530800612299,169.25814508755212,0.8931574069592902,0.940898359166805,0.7265275704408668,0.8931574069592901,0
2020-06-05,34287.23828125,34405.4296875,33958.01953125,34198.55078125,24600,0.06089153149334248,0.8347807926781656,263.9102181066765,0.9619940167406936,0.9290512437560647,0.7434204626692333,0.9619940167406936,1
2020-06-08,34370.578125,34927.80078125,34211.828125,34841.171875,25700,0.06648758084258188,0.8498631833296156,354.2837485342527,0.8896640830188519,0.9179283018809176,0.9125134679582309,0.8896640830188518,1
2020-06-09,33956.69140625,34811.2890625,33881.19140625,34520.7890625,19200,0.07133465914684234,0.8532031853530387,429.82723635830865,0.8005800399233919,0.8861716017839517,0.8359552861445251,0.8005800399233919,0
2020-06-10,34247.05078125,34350.171875,33949.4609375,34029.140625,15500,0.07575370688442629,0.8588712272603439,495.768277350959,0.8520516137824543,0.8484581948199068,0.8250857706921191,0.8520516137824543,1
2020-06-11,33538.37109375,34219.390625,33480.421875,34214.69140625,20900,0.07911199657110324,0.8498912131645715,539.7974256682387,0.6905040353842029,0.7801405691784423,0.7117621370636024,0.6905040353842028,0
